cnt,이름,데이터,등급,알레르기유발성분,지성,건성,민감성,,
1,WATER,Robust,1,,,,,,
2,FRAGRANCE,Fair,8,,,,,,
3,GLYCERIN,Good,2,,,,,,
4,IRON OXIDES,Fair,2,,,,,,
5,TITANIUM DIOXIDE,Good,3,,,,0,,
6,PHENOXYETHANOL,Limited,4,,,,,,
7,MICA,Fair,2,,,,,,
8,TOCOPHEROL,Fair,1,,,,,,
9,TOCOPHERYL ACETATE,Fair,3,,,,,,
10,DIMETHICONE,Limited,3,,,,,,
11,"SILICA, AMORPHOUS",Good,2,,,,,,
12,CITRIC ACID,Good,2,,,,1,,
13,BUTYROSPERMUM PARKII (SHEA) BUTTER,Limited,1,,1,,,,
14,CAPRYLYL GLYCOL,Limited,1,,,,,,
15,CAPRYLIC/ CAPRIC TRIGLYCERIDE,Limited,1,,,,,,
16,PANTHENOL,Limited,1,,,,,,
17,DISODIUM EDTA,Fair,1,,,,,,
18,XANTHAN GUM,Fair,1,,,,,,
19,FD&C YELLOW 5 (CI 19140) ALUMINUM LAKE,None,6,,,,,,
20,SODIUM CHLORIDE,Robust,1,,,,,,
21,BEESWAX,Limited,1,,,,,,
22,METHYLPARABEN,Fair,4,,,,,,
23,CETEARYL ALCOHOL,Limited,1,,,,,,
24,PROPYLENE GLYCOL,Fair,3,,,0,,,
25,LINALOOL,Fair,3,1,,,,,
26,LIMONENE,Good,5,,,,,,
27,SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL,Limited,1,,,,,,
28,HELIANTHUS ANNUUS (SUNFLOWER) OIL,Fair,1,,,,,,
29,ETHYLHEXYLGLYCERIN,Limited,2,,,,,,
30,BUTYLENE GLYCOL,Limited,1,,,,,,
31,COCOS NUCIFERA (COCONUT) OIL,Fair,1,,,,,,
32,ALOE BARBADENSIS (ALOE VERA) LEAF JUICE,Limited,3,,,,0,,
33,CYCLOPENTASILOXANE,Fair,3,,,,,,
34,PROPYLPARABEN,Fair,9,,,,,,
35,CARMINE,Fair,1,,,,,,
36,CI 42090 (FD&C Blue No. 1 or D&C Blue No. 4) Aluminum Lake,None,7,,,,,,
37,POTASSIUM SORBATE,Limited,2,,,,,,
38,ULTRAMARINES,Limited,3,,,,,,
39,CETYL ALCOHOL,Limited,1,,,,,,
40,SODIUM BENZOATE,Fair,3,,,,,,
41,GLYCERYL MONOSTEARATE,Limited,1,,,,,,
42,TALC,Good,8,,,,,,
43,CI 15850 (D&C Red No. 6 or 7) Aluminum Lake,Limited,6,,,,,,
44,STEARIC ACID,Fair,1,,1,,,,
45,BENZYL ALCOHOL,Fair,6,1,,,,,
46,COPERNICIA CERIFERA (CARNAUBA) WAX,Limited,1,,,,,,
47,POLYETHYLENE,Limited,1,,,,,,
48,TIN OXIDE,Fair,2,,,,,,
49,BHT,Fair,3,,,,,,
50,MANGANESE VIOLET,Limited,1,,,,,,
51,CASTOR OIL,Fair,2,,,,,,
52,COCAMIDOPROPYL BETAINE,Good,5,,,,,,
53,OLEA EUROPAEA (OLIVE) OIL,Fair,1,,,,,,
54,EUPHORBIA CERIFERA (CANDELILLA) WAX,Limited,1,,,,,,
55,SODIUM HYDROXIDE,Fair,4,,,,,,
56,METHYLISOTHIAZOLINONE,Fair,7,,,,,,
57,TETRASODIUM EDTA,Fair,2,,,,,,
58,SYNTHETIC FLUORPHLOGOPITE,Limited,1,,,,,,
59,BISMUTH OXYCHLORIDE,Limited,1,,,,,,
60,ETHYLHEXYL PALMITATE,Limited,1,,,,,,
61,CI 15850 (D&C Red No. 6 or 7),Limited,6,,,,,,
62,DISTEARDIMONIUM HECTORITE,None,1,,,,,,
