cnt,브랜드명,제품명,제품등급,모든성분
1,thinksport," Kids Shampoo & Body Wash, Chlorine Remover ",verified,"['CHAMOMILLA RECUTITA (MATRICARIA) FLOWER EXTRACT', 'ARNICA MONTANA (ARNICA) FLOWER EXTRACT', 'WATER', 'COCAMIDOPROPYL HYDROXYSULTAINE', 'DISODIUM 2-SULFOLAURATE', 'SODIUM METHYL 2-SULFOLAURATE', 'ALOE BARBADENSIS (ALOE VERA) LEAF JUICE', 'GLYCERIN', 'CAPRYLYL GLYCOL', 'STARCH HYDROXYPROPYLTRIMONIUM CHLORIDE', 'SODIUM PHYTATE', 'CARICA PAPAYA (PAPAYA)', 'PANTHENOL', 'ALLANTOIN', 'CAMELLIA SINENSIS (GREEN TEA) EXTRACT', 'CALENDULA OFFICINALIS (POT MARIGOLD) FLOWER EXTRACT', 'BETA-GLUCAN', 'HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL']"
2,thinkbaby, Diaper Lotion,verified,"['ZINC OXIDE (SUNSCREEN GRADE > 100NM)', 'RICINUS COMMUNIS (CASTOR) SEED OIL', 'HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL', 'BEESWAX', 'COCOS NUCIFERA (COCONUT) OIL', 'SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL', 'BUTYROSPERMUM PARKII (SHEA) BUTTER', 'TOCOPHEROL']"
3,Soap for Goodness Sake," Handmade Soap, Tea Tree Oil ",verified,"['MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL', 'CINNAMOMUM CASSIA (CINNAMON) LEAF OIL', 'SODIUM PALMATE', 'SODIUM OLIVATE', 'WATER', 'SODIUM COCOATE']"
4,Beautycounter," Skin Twin Featherweight Foundation, Tan 440",verified,"['PROPANEDIOL', 'CI 77499', 'WATER', 'COCO-CAPRYLATE/ CAPRATE', 'ISODODECANE', 'TRIMETHYLSILOXYSILICATE', 'CAPRYLIC/ CAPRIC TRIGLYCERIDE', 'DIMETHICONE/ VINYL DIMETHICONE CROSSPOLYMER', 'ISOSTEARIC ACID', 'POLYGLYCERYL-4 DIISOSTEARATE/ POLYHYDROXYSTEARATE/ SEBACATE', 'ISOEICOSANE', 'JOJOBA ESTERS', 'GLYCERIN', 'MAGNESIUM SULFATE', 'BEESWAX', 'DIMETHICONE', 'GLUCONOLACTONE', 'CALCIUM GLUCONATE', 'SODIUM HYALURONATE', 'TOCOPHEROL', 'TRIETHOXYCAPRYLYLSILANE', 'ISOPROPYL MYRISTATE', 'ETHYLHEXYL PALMITATE', 'POLYGLYCERYL-3 POLYRICINOLEATE', 'POLYHYDROXYSTEARIC ACID', 'LECITHIN', 'SODIUM BENZOATE', 'HYDROGENATED CASTOR OIL', 'SODIUM CHLORIDE', 'TITANIUM DIOXIDE']"
5,Be Green Bath & Body, Facial Serum for Oily Skin,verified,"['CITRUS LIMON (LEMON) PEEL OIL', 'CANAGA ODORATA (YLANG YLANG) FLOWER OIL', 'HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL', 'VITIS VINIFERA (GRAPE) SEED OIL', 'SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL', 'TOCOPHEROL', 'CYMBOPOGON MARTINI OIL', 'BOSWELLIA CARTERI (FRANKINCENSE)']"
6,Be Natural Organics, Pure Botanical Squalane Serum,verified,['OLIVE SQUALANE']
7,Olay, Regenerist Brightening + Vitamin C Hydrating Moisturizer,verified,"['POLYACRYLAMIDE', 'CETEARYL GLUCOSIDE', 'PHENOXYETHANOL', 'WATER', 'GLYCERIN', 'NIACINAMIDE', 'ISOHEXADECANE', 'ISOPROPYL ISOSTEARATE', 'STEARYL ALCOHOL', 'SODIUM ASCORBYL PHOSPHATE', 'INOSITOL', 'PANTHENOL', 'CITRIC ACID', 'C13-14 ISOPARAFFIN', 'CAPRYLYL GLYCOL', 'LAURETH-7', 'CETEARYL ALCOHOL', 'PALMITIC ACID', 'STEARIC ACID', 'CETYL ALCOHOL', 'BEHENYL ALCOHOL', 'DISODIUM EDTA', 'PEG-100 STEARATE', '1,2-HEXANEDIOL']"
8,Be Green Bath & Body, Green Tea Cleanser,verified,"['ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT', 'WATER', 'HAMAMELIS VIRGINIANA (WITCH HAZEL) DISTILLATE', 'SAPONIFIED COCOS NUCIFERA (COCONUT) OIL', 'OLEA EUROPAEA (OLIVE) OIL', 'SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL', 'ALOE BARBADENSIS (ALOE VERA)', 'CAMELLIA SINENSIS (GREEN TEA) EXTRACT', 'SALIX ALBA (WHITE WILLOW) BARK EXTRACT', 'LEUCONOSTOC/ RADISH ROOT FERMENT FILTRATE', 'GLYCERIN', 'CALEDULA OFFICINALIS EXTRACT', 'CITRUS GRANDIS (GRAPEFRUIT) OIL']"
9,ATTITUDE, Natural Body Wash,verified,"['DECYL GLUCOSIDE', 'POTASSIUM SORBATE', 'WATER', 'COCO-GLUCOSIDE', 'GLYCERIN', 'SODIUM COCOYL ISETHIONATE', 'CYAMOPSIS TETRAGONOLOBA (GUAR) GUM', 'DICAPRYLYL ETHER', 'LAURYL GLUCOSIDE', 'STEARYL CITRATE', 'CITRIC ACID', 'GLYCERYL OLEATE', 'CASTORYL MALEATE', 'SODIUM BENZOATE', 'TRIETHYL CITRATE', 'AVENA SATIVA (OAT) KERNEL FLOUR', 'RASPBERRY KETONE', 'ALLYL CAPROATE']"
10,purelygreat, Tea Tree Natural Deodorant,verified,"['MELALEUCA ALTERNIFOLIA (TEA TREE) LEAF OIL', 'LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL', 'CAPRYLIC/ CAPRIC TRIGLYCERIDE', 'SODIUM BICARBONATE', 'CETYL ALCOHOL', 'COCOS NUCIFERA (COCONUT) OIL', 'ZEA MAYS (CORN) STARCH', 'GLYCERYL MONOSTEARATE', 'CETEARYL ALCOHOL', 'SODIUM STEAROYL LACTYLATE', 'EUPHORBIA CERIFERA (CANDELILLA) WAX', 'ZINC RICINOLEATE']"
11,Qet Botanicals, Rosewood Botanical Nectar,verified,"['PELARGONIUM GRAVEOLENS (GERANIUM) FLOWER OIL', 'ROSA DAMASCENA (ROSE) FLOWER OIL', 'HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL', 'SANTALUM SPICATUM (SANDALWOOD) OIL', 'VANILLA PLANIFOLIA (VANILLA) OIL', 'ROSA DAMASCENA (ROSE) FLOWER', 'ROSA DAMASCENA (ROSE) FLOWER', 'ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT']"
12,AROMATICA, Lavender Relaxing Massage & Body Oil,verified,"['CITRUS AURANTIUM DULCIS (ORANGE) PEEL OIL', 'CANANGA ODORATA FLOWER OIL', 'LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL', 'HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL', 'PRUNUS AMYGDALUS DULCIS (SWEET ALMOND) OIL', 'OLEA EUROPAEA (OLIVE) OIL', 'SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL', 'LIMNANTHES VERSICOLOR (MEADOWFOAM) SEED OIL', 'ORIGANUM MAJORANA (SWEET MARJORAM) LEAF OIL', 'CITRUS AURANTIUM BERGAMIA FRUIT OIL', 'TOCOPHEROL', 'OENOTHERA BIENNIS (EVENING PRIMROSE) OIL', 'CITRUS AURANTIUM AMARA (BITTER ORANGE) LEAF/ TWIG OIL', 'ANTHEMIS NOBILIS (CHAMOMILE) FLOWER OIL', 'VEGETABLE FATTY ACID']"
13,Versed, Baby Cheeks All-In-One Hydrating Milk,verified,"['PROPANEDIOL', 'TOCOPHERYL ACETATE', 'PHENOXYETHANOL', 'ETHYLHEXYLGLYCERIN', 'WATER', 'COCOS NUCIFERA (COCONUT) WATER', 'GLYCERIN', 'CETEARYL ISONONANOATE', 'DICAPRYLYL CARBONATE', 'POLYGLYCERYL-10 OLEATE', 'PHYLLOSTACHIS BAMBUSOIDES EXTRACT', 'ALGAE/ SEAWEED/ KELP EXTRACT (SPECIES UNSPECIFIED)', 'LEUCONOSTOC/ RADISH ROOT FERMENT FILTRATE', 'POLYGLYCERYL-2 OLEATE', 'DISODIUM EDTA', 'XANTHAN GUM']"
14,Davids Natural Toothpaste,"Davids Premium Natural Toothpaste, Peppermint + Charcoal",verified,"['MENTHA PIPERITA (PEPPERMINT) OIL', 'CALCIUM CARBONATE', 'WATER', 'SODIUM BICARBONATE', 'GLYCERIN', 'HYDRATED SILICA', 'XYLITOL', 'COCOS NUCIFERA (COCONUT) OIL', 'ACTIVATED CHARCOAL', 'CHONDRUS CRISPUS (CARRAGEENAN)', 'SODIUM COCOYL GLUTAMATE', 'MENTHA SPICATA (SPEARMINT) OIL', 'PIMPINELLA ANISUM (ANISE) SEED EXTRACT', 'GAULTHERIA PROCUMBENS (WINTERGREEN) LEAF OIL', 'STEVIA REBAUDIANA (SWEETLEAF) EXTRACT']"
15,Sally B's Skin Yummies, Tamanu Luxury Facial Cleanser,verified,"['LAVANDULA ANGUSTIFOLIA (LAVENDER) OIL', 'WATER', 'COCOS NUCIFERA (COCONUT) OIL', 'OLEA EUROPAEA (OLIVE) OIL', 'SIMMONDSIA CHINENSIS (JOJOBA) SEED OIL', 'CAMELLIA OLEIFERA (TEA-OIL CAMELLIA) SEED OIL', 'ALOE BARBADENSIS (ALOE VERA)', 'ROSMARINUS OFFICINALIS (ROSEMARY) LEAF EXTRACT', 'CALOPHYLIUM TACAMAHACA (TAMANU) SEED OIL', 'TOCOPHEROL', 'XANTHAN GUM', 'LECITHIN']"
16,ATTITUDE, Super Leaves Natural Shampoo & Body Wash 2-in-1 - Scalp Care ,verified,"['DECYL GLUCOSIDE', 'POTASSIUM SORBATE', 'WATER', 'SODIUM COCO-SULFATE', 'COCO-GLUCOSIDE', 'GLYCERIN', 'SODIUM COCOYL ISETHIONATE', 'LAURYL GLUCOSIDE', 'STEARYL CITRATE', 'CITRIC ACID', 'PANTHENOL', 'SODIUM BENZOATE', 'INULIN', 'NASTURTIUM OFFICINALE (WATERCRESS) EXTRACT', 'TROPAEOLUM MAJUS (NASTURTIUM) EXTRACT', 'MALTODEXTRIN', 'MORINGA OLEIFERA SEED EXTRACT', 'SALIX NIGRA (BLACK WILLOW) BARK EXTRACT', 'POPULUS TREMULOIDES BARK EXTRACT', 'TRIETHYL CITRATE', 'ETHYL 2-METHYLBUTYRATE', 'ALLYL CAPROATE']"
17,Makes 3 Organics, Orange Blossom Soap Bar,verified,"['CITRUS AURANTIUM DULCIS (ORANGE) OIL', 'CITRUS AURANTIUM DULCIS (ORANGE) OIL', 'CITRUS AURANTIUM DULCIS (ORANGE) OIL', 'ROSMARINUS OFFICINALIS (ROSEMARY) EXTRACT', 'CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL', 'HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL', 'COCOS NUCIFERA (COCONUT) OIL', 'ELAEIS GUINEENSIS (PALM) KERNEL OIL', 'WATER', 'SODIUM HYDROXIDE', 'PELARGONIUM CAPITATUM (GERANIUM) OIL', 'LEMONGRASS ESSENTIAL OIL', 'BIXA ORELLANA (ANNATTO) EXTRACT']"
18,Sally B's Skin Yummies," B Glossy Lip Gloss, Copper Penny",verified,"['RICINUS COMMUNIS (CASTOR) SEED OIL', 'MICA', 'TITANIUM DIOXIDE (SUNSCREEN GRADE)', 'CI 77499', 'LECITHIN', 'BEESWAX', 'BUTYROSPERMUM PARKII (SHEA) BUTTER', 'COPERNICIA CERIFERA (CARNAUBA) WAX', 'TOCOPHEROL', 'MENTHA ARVENSIS (WILD MINT) OIL']"
